Normal_char_score,Normal_char_hit_count,Normal_char_max_score,Normal_word_score,Normal_word_hit_count,Normal_word_max_score,SQL_Injection_char_score,SQL_Injection_char_hit_count,SQL_Injection_char_max_score,SQL_Injection_word_score,SQL_Injection_word_hit_count,SQL_Injection_word_max_score,Cross_Site_Scripting_char_score,Cross_Site_Scripting_char_hit_count,Cross_Site_Scripting_char_max_score,Cross_Site_Scripting_word_score,Cross_Site_Scripting_word_hit_count,Cross_Site_Scripting_word_max_score,PortScan_char_score,PortScan_char_hit_count,PortScan_char_max_score,PortScan_word_score,PortScan_word_hit_count,PortScan_word_max_score,Normal_total,SQL_Injection_total,Cross_Site_Scripting_total,PortScan_total,top_class_score,second_class_score,score_margin,sqli_minus_xss,xss_minus_sqli,portscan_minus_max_web
0.0,0,0.0,0.6868684840361037,4,0.26509552020867205,0.0,0,0.0,0.3444133432673863,3,0.11490699556325469,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.6868684840361037,0.3444133432673863,0.0,0.0,0.6868684840361037,0.3444133432673863,0.34245514076871736,0.3444133432673863,-0.3444133432673863,-0.3444133432673863
0.0,0,0.0,0.3821574922250254,3,0.22826067232681113,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.19926279657209034,1,0.19926279657209034,0.0,0,0.0,0.0,0,0.0,0.3821574922250254,0.0,0.19926279657209034,0.0,0.3821574922250254,0.19926279657209034,0.18289469565293504,-0.19926279657209034,0.19926279657209034,-0.19926279657209034
0.0,0,0.0,0.6702915811275649,5,0.2482176741291452,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.050429933709340694,2,0.025423638842709373,0.22206784018047404,3,0.10863676305214867,0.6702915811275649,0.0,0.0,0.2724977738898147,0.6702915811275649,0.2724977738898147,0.3977938072377502,0.0,0.0,0.2724977738898147
0.0,0,0.0,0.9886341645932029,4,0.3426342795886134,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9886341645932029,0.0,0.0,0.0,0.9886341645932029,0.0,0.9886341645932029,0.0,0.0,0.0
0.0,0,0.0,0.905539207341275,4,0.29903101058261433,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.905539207341275,0.0,0.0,0.0,0.905539207341275,0.0,0.905539207341275,0.0,0.0,0.0
0.03497158057788156,1,0.03497158057788156,0.7588326117837836,4,0.2913037012572989,0.0,0,0.0,0.0,0,0.0,0.0560563954625714,1,0.0560563954625714,0.0,0,0.0,0.0,0,0.0,0.0627157134396991,1,0.0627157134396991,0.7938041923616651,0.0,0.0560563954625714,0.0627157134396991,0.7938041923616651,0.0627157134396991,0.731088478921966,-0.0560563954625714,0.0560563954625714,0.006659317977127703
0.0,0,0.0,0.8505643258060807,4,0.31019128332654927,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.8505643258060807,0.0,0.0,0.0,0.8505643258060807,0.0,0.8505643258060807,0.0,0.0,0.0
0.0,0,0.0,0.8553087103398646,4,0.31192150722905587,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.8553087103398646,0.0,0.0,0.0,0.8553087103398646,0.0,0.8553087103398646,0.0,0.0,0.0
3.846397227076894,85,0.14431154806727722,4.829478580442788,68,0.2953267739389965,7.812094430188387,229,0.14431154806727722,4.273059345153476,58,0.2953267739389965,0.22707123521395522,7,0.033642884925126806,0.6212590192802925,11,0.06712112008376514,0.0225756638094794,1,0.0225756638094794,0.817642177815592,19,0.07037364685905588,8.675875807519681,12.085153775341864,0.8483302544942477,0.8402178416250714,12.085153775341864,8.675875807519681,3.4092779678221827,11.236823520847615,-11.236823520847615,-11.244935933716793
0.0,0,0.0,1.0417552711998237,4,0.36215063165859956,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0417552711998237,0.0,0.0,0.0,1.0417552711998237,0.0,1.0417552711998237,0.0,0.0,0.0
0.0,0,0.0,0.8455975811584331,4,0.3230017422957967,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.8455975811584331,0.0,0.0,0.0,0.8455975811584331,0.0,0.8455975811584331,0.0,0.0,0.0
0.0,0,0.0,0.6213363593060308,4,0.2782096373226766,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.6213363593060308,0.0,0.0,0.0,0.6213363593060308,0.0,0.6213363593060308,0.0,0.0,0.0
4.30689460196174,147,0.057240813824085794,2.878504025822084,45,0.26331172754298265,0.0,0,0.0,0.6730010960201627,5,0.26331172754298265,0.03589257324213919,1,0.03589257324213919,0.3285317424590362,2,0.26331172754298265,3.2756265575155226,122,0.05400811377940066,2.441432233071638,47,0.11638527256519914,7.185398627783824,0.6730010960201627,0.3644243157011754,5.71705879058716,7.185398627783824,5.71705879058716,1.4683398371966643,0.3085767803189873,-0.3085767803189873,5.044057694566997
2.605379147161037,65,0.06770652407168948,4.283588292321353,49,0.16207466924492622,5.987980181478424,173,0.06770652407168948,3.705272916066374,42,0.16207466924492622,0.03005383151563447,1,0.03005383151563447,0.6316416566086129,7,0.10485632955788367,0.0,0,0.0,1.063884811110035,17,0.10787018527503724,6.888967439482389,9.693253097544797,0.6616954881242474,1.063884811110035,9.693253097544797,6.888967439482389,2.8042856580624083,9.03155760942055,-9.03155760942055,-8.629368286434762
0.5681308539522564,12,0.04949619921384619,1.4129932400765368,15,0.2947860534367414,0.0,0,0.0,0.10615448079034534,2,0.06043455220785522,0.0,0,0.0,0.04571992858249011,1,0.04571992858249011,0.0,0,0.0,0.9396195523104774,18,0.09050757016928844,1.981124094028793,0.10615448079034534,0.04571992858249011,0.9396195523104774,1.981124094028793,0.9396195523104774,1.0415045417183157,0.06043455220785523,-0.06043455220785523,0.8334650715201322
