,precision,recall,f1-score,support
Cross_Site_Scripting,0.9462809917355371,0.9870689655172413,0.9662447257383966,232.0
Normal,0.9993656432377569,0.9997461606802894,0.9995558657445593,7879.0
PortScan,0.973568281938326,0.9608695652173913,0.9671772428884027,460.0
SQL_Injection,0.9970014992503748,0.9866468842729971,0.9917971662938105,674.0
accuracy,0.9965386695511087,0.9965386695511087,0.9965386695511087,0.9965386695511087
macro avg,0.9790541040404986,0.9835828939219797,0.9811937501662924,9245.0
weighted avg,0.9965775568782386,0.9965386695511087,0.9965432411447684,9245.0
