,precision,recall,f1-score,support
Cross_Site_Scripting,0.9385245901639344,0.9870689655172413,0.9621848739495799,232.0
Normal,0.9998730964467005,1.0,0.9999365441969668,7879.0
PortScan,0.9887133182844243,0.9521739130434783,0.9700996677740864,460.0
SQL_Injection,0.9882005899705014,0.9940652818991098,0.9911242603550295,674.0
accuracy,0.9968631692806923,0.9968631692806923,0.9968631692806923,0.9968631692806923
macro avg,0.9788278987163902,0.9833270401149573,0.9808363365689157,9245.0
weighted avg,0.9969273289207724,0.9968631692806923,0.9968621439848107,9245.0
